Nombre de sistema,Última comunicación,Versión de producto (Agent),Versión de producto (VirusScan Enterprise),Versión de DAT (VirusScan Enterprise),Tipo de SO,Versión de producto (Endpoint Security Threat Prevention),Versión de AMCore Content,Estado habilitado de OAS
L5CG5152B7B,25/10/18 0:49:11 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3506.0,
L5CG5152B8Z,14/11/18 15:12:32 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152BBB,14/11/18 15:47:23 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152BBX,13/11/18 22:31:02 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5152BCZ,14/11/18 0:56:04 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5152BDM,14/11/18 15:45:10 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
L5CG5152BDQ,14/11/18 7:36:09 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152BFB,7/11/18 21:47:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3520.0,
L5CG5152BFT,14/11/18 3:18:39 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152BFY,2/11/18 17:10:06 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3515.0,
L5CG5152BH5,14/11/18 1:43:05 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5152BHB,14/11/18 15:14:15 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152BJJ,13/11/18 23:37:25 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152BM0,14/11/18 15:37:38 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152BMT,14/11/18 15:36:46 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152BNR,2/11/18 15:06:34 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3515.0,
L5CG5152BPB,14/11/18 10:11:57 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152BQ2,14/11/18 15:33:06 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG5152BQN,28/10/18 6:12:09 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3510.0,
L5CG5152BR2,14/11/18 1:45:26 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152BRP,14/11/18 15:25:05 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152BTH,2/09/18 4:05:43 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,0.5,
L5CG5152BWB,7/11/18 3:33:20 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3520.0,
L5CG5152BWJ,14/11/18 15:39:17 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152BWQ,13/11/18 23:50:40 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5152BWX,14/11/18 15:06:55 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152BX2,14/11/18 15:00:39 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152BXM,14/11/18 15:35:58 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152BXW,14/11/18 15:16:48 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152C2M,14/11/18 2:39:54 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
L5CG5152C3Z,13/11/18 14:09:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152C4N,31/10/18 20:11:02 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3513.0,
L5CG5152C5D,14/11/18 15:12:23 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG5152C5N,14/11/18 15:25:00 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152C6F,14/11/18 15:10:27 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152C8J,16/10/18 2:08:57 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3497.0,
L5CG5152CBD,9/10/18 17:40:35 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG5152CBZ,14/11/18 15:32:58 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152CC6,14/11/18 15:32:33 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152CCH,14/11/18 15:02:30 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152CDF,14/11/18 15:30:39 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152CJ6,14/11/18 15:23:10 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5152CJW,14/11/18 15:42:21 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152CLK,14/11/18 15:45:15 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152G3Y,15/10/18 21:02:12 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3497.0,
L5CG5152G5G,14/11/18 15:44:11 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5152G5N,14/11/18 15:44:53 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152G6W,14/11/18 14:07:40 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152G78,13/11/18 19:30:26 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152G7P,12/11/18 18:07:46 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3525.0,
L5CG5152G7S,23/10/18 19:24:23 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3504.0,
L5CG5152G85,5/10/18 23:35:32 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3485.0,
L5CG5152G8K,14/11/18 0:07:29 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152G8Y,14/11/18 15:34:11 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5152GC5,12/11/18 7:52:38 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3525.0,
L5CG5152GD5,14/11/18 15:34:23 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3518.0,
L5CG5152GDL,14/11/18 15:26:41 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152GDS,14/11/18 15:42:33 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5152GG,13/11/18 23:17:56 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152GG4,14/11/18 14:17:03 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152GHJ,14/11/18 4:13:58 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152GHP,14/11/18 15:29:29 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5152GJ9,12/11/18 18:36:22 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3525.0,
L5CG5152GJW,14/11/18 15:42:19 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5152GK6,13/11/18 18:34:41 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152GN0,14/11/18 15:39:52 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5152GP3,14/11/18 15:53:15 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152GP7,21/09/18 19:15:21 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3455.0,
L5CG5152GPM,14/11/18 15:40:40 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152GPZ,14/11/18 1:13:50 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5152GQ2,14/11/18 15:32:34 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152GQH,14/11/18 15:34:15 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152GS0,14/11/18 15:47:08 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG5152GTZ,24/10/18 10:03:24 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3506.0,
L5CG5152GW6,9/10/18 16:25:18 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3491.0,
L5CG5152GXZ,10/11/18 2:47:04 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3523.0,
L5CG5152GYW,7/11/18 23:43:29 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3521.0,
L5CG5152GZN,14/11/18 15:28:26 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152H2P,14/11/18 15:19:23 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152H2V,20/10/18 23:16:29 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3502.0,
L5CG5152H3R,14/11/18 1:54:09 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152H3X,9/10/18 16:50:49 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3491.0,
L5CG5152H45,14/11/18 14:59:45 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152H4V,14/11/18 15:49:59 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152H59,14/11/18 15:37:16 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5152H67,1/11/18 16:42:22 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3509.0,
L5CG5152H6D,13/11/18 15:00:05 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152H7N,14/11/18 0:36:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5152H83,14/11/18 15:37:44 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152H88,14/11/18 14:22:59 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3522.0,
L5CG5152H8C,18/09/18 0:11:33 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3470.0,
L5CG5152HC4,14/11/18 15:42:09 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152QLG,1/11/18 16:29:40 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3509.0,
L5CG550623T,13/11/18 17:19:46 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5506244,13/11/18 15:26:29 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG550625S,14/11/18 4:18:26 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5516SB3,12/10/18 1:26:20 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3493.0,
L5CG5516SB7,14/11/18 14:57:59 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5516SCJ,14/11/18 15:47:52 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5516SD5,11/10/18 23:25:45 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3493.0,
L5CG5516SDD,14/11/18 15:38:54 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5516SJ3,5/09/18 2:48:46 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3456.0,
L5CG5516SNK,14/11/18 15:38:32 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5516SNV,11/10/18 20:03:15 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG5516SP1,10/11/18 2:35:29 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3522.0,
L5CG5516SP9,28/08/18 17:27:10 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3449.0,
L5CG5516SPK,9/10/18 19:41:35 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG5516SSS,10/10/18 19:36:00 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3492.0,
L5CG6012TSM,14/11/18 15:07:20 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG6012TVG,14/11/18 15:57:48 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG6244ZW5,14/11/18 3:02:30 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG624500Y,14/11/18 15:35:06 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG62450XH,14/11/18 15:52:30 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG6265S01,14/11/18 15:32:11 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG6265SHF,14/11/18 15:39:24 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG6311T7T,14/11/18 15:10:00 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG6311T8T,12/10/18 1:09:58 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3493.0,
L5CG6311T9S,14/11/18 15:22:13 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG6311TB1,14/11/18 15:33:08 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG6311TBF,5/10/18 18:50:20 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3487.0,
L5CG640344T,14/11/18 15:52:54 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG70145SH,6/10/18 19:09:11 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3488.0,
L5CG70145ST,8/11/18 11:03:23 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3521.0,
L5CG70145W2,14/11/18 15:08:47 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG70145W5,14/11/18 15:54:07 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG70145XK,3/11/18 1:28:03 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3515.0,
L5CG70145XX,14/11/18 12:34:01 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
L5CG70145YF,9/10/18 16:31:44 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG70145ZC,14/11/18 15:16:00 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG70145ZF,14/11/18 15:03:38 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
L5CG70145ZK,14/11/18 15:19:31 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG7014604,9/10/18 16:46:16 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG701461X,14/11/18 15:39:26 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG701462N,14/11/18 1:19:01 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG7014639,12/11/18 14:11:09 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3525.0,
L5CG701463J,13/11/18 23:39:20 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG701463Y,14/11/18 15:55:57 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG7014656,14/11/18 15:49:33 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG7022SRP,21/09/18 12:58:06 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3473.0,
L5CG7022SSY,27/09/18 0:11:49 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3477.0,
L5CG70866G8,14/11/18 15:32:31 CET,5.0.6.220,,,Windows 7,10.5.2.2108,0.5,
L5CG70866GQ,14/11/18 15:20:44 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG7101QPS,14/11/18 15:54:14 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7101QT4,16/10/18 15:06:12 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3494.0,
L5CG7101QVR,14/11/18 15:31:41 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG7101QX3,14/11/18 15:55:31 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG7101QYR,14/11/18 15:55:49 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG7101R22,14/11/18 13:49:05 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7101R59,29/10/18 14:45:45 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3511.0,
L5CG7101R5T,14/11/18 15:17:34 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG7101R6N,11/11/18 23:13:06 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3525.0,
L5CG7101RB9,7/11/18 19:51:08 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3520.0,
L5CG7101RC1,15/10/18 18:07:16 CEST,5.0.6.220,,,Windows 10,,,
L5CG7101RFG,14/11/18 13:28:04 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG7101RMQ,25/10/18 14:11:02 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3507.0,
L5CG7101RW7,14/11/18 15:31:48 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG7391SK7,14/11/18 15:23:37 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G0F,14/11/18 14:26:03 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G0T,14/11/18 15:01:30 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G12,14/11/18 15:48:20 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G19,12/11/18 21:37:11 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3525.0,
L5CG7462G1K,9/10/18 16:54:42 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG7462G2D,14/11/18 14:59:53 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG7462G2W,13/11/18 12:07:27 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG7462G34,14/11/18 15:19:05 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G3C,14/11/18 15:36:04 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G3K,30/10/18 1:09:34 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3512.0,
L5CG7462G42,14/11/18 15:41:28 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G57,13/11/18 3:36:26 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG7462G5D,14/11/18 5:38:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG7462G5N,29/10/18 16:31:32 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3511.0,
L5CG7462G5S,14/11/18 14:07:05 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G60,14/11/18 1:11:10 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG7462G68,14/11/18 15:35:48 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G6L,14/11/18 15:52:17 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G6T,14/11/18 14:08:03 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG7462G70,9/11/18 0:04:52 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3521.0,
L5CG7462JDV,13/11/18 23:16:29 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG8104GXC,9/10/18 16:54:37 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG8104H0P,13/11/18 5:27:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3522.0,
L5CG8104H3C,12/09/18 1:46:00 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3464.0,
L5CG8104H5Z,9/10/18 15:57:48 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3491.0,
L5CG8104ZSN,14/11/18 15:14:20 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG8104ZTN,14/11/18 15:01:09 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG8104ZVF,14/11/18 15:28:20 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG8104ZVL,10/11/18 23:13:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3524.0,
L5CG8104ZVQ,24/10/18 1:20:16 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3492.0,
L5CG8104ZW2,9/10/18 16:13:26 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3488.0,
L5CG81050W0,14/11/18 15:45:05 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG810515H,13/11/18 22:33:31 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG8242ZJR,2/11/18 13:58:22 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3515.0,
L5CG8243038,14/11/18 14:23:58 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG82430ZB,14/11/18 5:08:27 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG8244624,14/11/18 14:42:49 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG82449HK,14/11/18 15:21:21 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG82449HX,25/10/18 3:05:16 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3506.0,
L5CG82449J9,14/11/18 3:03:30 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L6GTSA70427,13/11/18 15:29:30 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L6GTSA70758,14/11/18 15:14:14 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L6GTSA70834,13/11/18 14:57:26 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L8FTTA26922,21/09/18 21:52:58 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3473.0,
L8FTTA27248,24/09/18 19:16:41 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3476.0,
L8FTTA27252,24/09/18 18:43:31 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3476.0,
LCNU1291C4P,14/11/18 15:26:29 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
LCNU2031Q15,14/11/18 15:36:00 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
LCNU2133F7X,18/09/18 19:45:14 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3458.0,
LCNU21817GV,1/11/18 18:25:04 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3514.0,
LCNU21817H0,1/11/18 18:15:34 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3509.0,
LCNU21817LL,13/11/18 22:08:06 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3526.0,
LCNU2191MK4,7/11/18 14:20:19 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3514.0,
LCNU234BGPC,26/09/18 4:51:01 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3478.0,
LCNU234BGPZ,14/11/18 15:53:12 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
LCNU2369HFC,11/10/18 19:06:33 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3493.0,
LCNU2369HG4,2/09/18 6:36:03 CEST,5.0.6.220,,,Windows 7,10.5.2.2108,3454.0,
LCNU2369HG5,14/11/18 15:38:56 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
LCNU238B78N,13/11/18 22:51:25 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
LCNU243C339,13/11/18 23:19:58 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
LCNU243C34C,23/09/18 0:33:01 CEST,5.0.6.220,,,Windows 7,,,
LCNU243C356,11/10/18 15:36:29 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3492.0,
LCNU243C461,29/09/18 18:31:14 CEST,5.0.6.220,,,,10.5.3.3264,3474.0,
LCNU243C469,13/11/18 22:48:03 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3526.0,
LCNU243C46C,31/10/18 16:08:47 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3513.0,
LCNU243C46H,14/11/18 13:35:06 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
LCNU243C470,5/11/18 15:18:44 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3518.0,
LCNU243C47K,5/11/18 17:37:21 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3500.0,
LCNU243C47L,4/10/18 22:04:51 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3486.0,
LCNU243C487,24/10/18 16:58:59 CEST,5.0.6.220,,,Windows 7,10.5.2.2108,3483.0,
LCNU243C4KZ,1/11/18 20:33:03 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3514.0,
LECG5152H55,14/11/18 15:17:14 CET,5.0.6.220,,,Windows 10,,,
LMXL8241X3D,14/11/18 15:24:35 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
LPBK4H47,14/11/18 15:53:13 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
LPBK4H56,14/11/18 14:38:48 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3525.0,
LPBVX34Z,14/11/18 2:06:44 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
LPBY616P,12/11/18 22:24:04 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3525.0,
LPBY825M,13/11/18 21:32:43 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3526.0,
LPBY826P,8/10/18 19:48:41 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3481.0,
LPBY826V,18/09/18 23:45:20 CEST,5.0.6.220,,,Windows 7,10.5.2.2108,3470.0,
LPC00KH6Z,8/10/18 19:46:00 CEST,5.0.6.220,,,Windows 7,10.5.2.2108,3490.0,
LPC015355,20/10/18 23:36:34 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3502.0,
LUSH534L0T2,1/11/18 17:09:48 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3514.0,
P257241,14/11/18 15:40:56 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
P257247,4/10/18 15:07:06 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3486.0,
P257276,5/11/18 23:37:05 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3504.0,
P257430,14/11/18 3:37:58 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
P257685,14/11/18 15:42:40 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
P257686,13/11/18 16:40:42 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
P257688,14/11/18 15:46:57 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
P257690,19/10/18 19:39:03 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3501.0,
P257702,14/11/18 15:56:23 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
P257710,14/11/18 13:57:25 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3522.0,
