Nombre de sistema,Última comunicación,Versión de producto (Agent),Versión de producto (VirusScan Enterprise),Versión de DAT (VirusScan Enterprise),Tipo de SO,Versión de producto (Endpoint Security Threat Prevention),Versión de AMCore Content,Estado habilitado de OAS
DMXL2181210,14/11/18 0:05:17 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
DMXL21916SP,14/11/18 15:13:34 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL2191BJV,15/09/18 3:33:05 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3467.0,
DMXL2431RNW,22/10/18 17:13:53 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3504.0,
DMXL5030XCF,14/11/18 15:17:50 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL5040DLS,2/11/18 0:06:24 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3509.0,
DMXL5180W69,14/11/18 1:17:59 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
DMXL5190HZC,5/11/18 16:17:35 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3512.0,
DMXL5190HZD,14/11/18 15:57:24 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL5190HZP,14/11/18 0:58:43 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
DMXL5192N0C,14/11/18 4:44:04 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL5192N0T,13/11/18 10:05:04 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3525.0,
DMXL5292LHH,14/11/18 15:46:33 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL60725VD,14/11/18 15:47:08 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL6241NNT,14/11/18 15:41:59 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL6311CN3,14/11/18 12:31:14 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL7071QPG,14/11/18 15:42:08 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL7071QQ5,14/11/18 15:26:54 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL7321ZY1,14/11/18 15:13:31 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL7321ZY3,14/11/18 15:44:54 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL7321ZY5,2/11/18 0:29:05 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3491.0,
DMXL7321ZY7,14/11/18 15:58:32 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL7321ZYL,14/11/18 15:07:41 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL7321ZYM,14/11/18 15:37:12 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL7321ZYQ,14/11/18 15:20:24 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL7321ZZ5,14/11/18 15:05:44 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL7321ZZM,14/11/18 15:42:52 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL7321ZZN,14/11/18 15:15:57 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL7322000,14/11/18 15:21:11 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL73429FL,14/11/18 15:58:10 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL743112Z9,14/11/18 15:31:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL74312YR,14/11/18 15:58:27 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL74312YV,14/11/18 15:58:23 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312YX,14/11/18 15:41:23 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312YZ,14/11/18 15:08:00 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312Z2,14/11/18 15:23:56 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312Z6,14/11/18 15:07:24 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312Z7,14/11/18 15:31:54 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL74312ZD,14/11/18 15:31:42 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312ZJ,14/11/18 15:42:52 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312ZL,14/11/18 15:51:22 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312ZP,14/11/18 15:24:22 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312ZT,14/11/18 15:34:36 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL74312ZX,13/11/18 23:44:24 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
DMXL7451Q23,14/11/18 15:57:30 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL7451R00,14/11/18 0:24:39 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
DMXL80613RL,14/11/18 15:44:33 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL80613RM,14/11/18 15:01:43 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL80613RT,14/11/18 15:45:08 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL8241SJH,14/11/18 14:59:59 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL8241SJM,14/11/18 15:24:39 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL8241SJN,3/10/18 23:02:45 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3485.0,
DMXL8241SJV,14/11/18 15:53:14 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL8241SJY,14/11/18 14:59:46 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL8241X2Z,14/11/18 15:26:32 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMXL8241X32,14/11/18 0:08:39 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
